Translation;Gender;Note;Tags;Pronunciation;Word;Plural
Name                ;[m];;msa, ls, noun;;اِسْم;
Nationalität        ;[f];;msa, ls, noun;;جِنْسيّة;
ägyptisch, Ägypter  ;[m];;msa, ls;;مِصْريّ;
Geburtsdatum        ;[m];;msa, ls, noun;;تاريخ الميلاد;
Datum               ;[m];;msa, ls, noun;;تاريخ;
Geburt              ;[m];;msa, ls, noun;;ميلاد;
Geburtsort          ;[m];;msa, ls, noun;;مَكان الميلاد;
Ort                 ;[m];;msa, ls, noun;;مَكان;
Kairo               ;[f];;msa, ls, noun, city;;القاهِرة;
syrische, Syrerin   ;[f];;msa, ls;;سوريّة;
Damaskus            ;[m];;msa, ls, noun, city;;دِمَشْق;
hallo (wörtl.: sei ein Angehöriger)                 ;;;msa, ls;;أَهْلاً;
Wie geht's? (wortl.: Wie ist der Zustand?)          ;;;msa, ls;;قَيف الحال؟;
gut (wörtl.: mit Güte)                              ;;;msa, ls;;بِخَيْر;
Wie geht es dir? (wörtl.: Wie ist dein Zustand?)    ;[m];;msa, ls;;قَيف حااَلك؟;
Gott sei Dank       ;;;msa, ls;;الحَمْدُ للهِ;
alles               ;;;msa, ls;;كُلّ شَيْء;
gut, okay           ;;;msa, ls;;تَمام;
Freund              ;[m];;msa, ls, noun;;ﺃَﺻﺪِﻗَﺎﺀ;ﺻَﺪِﻳﻖ
herzlich willkommen ;;;msa, ls;;أَهْلاً وَ سَهْلاً!;
was                 ;;;msa, ls;;ما;
sehr erfreut;;;msa, ls;;تَشَرَّفْنا;
Wie heißt du? (wörtl.: Was ist dein Name?)          ;[m];;msa, ls;;ما اِسْمَك؟;
Ich heiße (wörtl.: Mein Name ist)                   ;;;msa, ls;;اِسْمي ...;
Jordanien           ;;;msa, ls;;الأُرْدُن;
palästinensische, Palästinenserin   ;[f];;msa, ls;;فِلَسْطينيَّة;
Anrede-Partikel     ;;;msa, ls;;يا;
Fragewort-Partikel  ;;;msa, ls;;هَل;
englisch, Engländer ;[m];;msa, ls;;إنْكْليزي;
deutsch, Deutscher  ;[m];;msa, ls;;أَلْماني;
sprechen, reden;;;msa, ls, verb;;كَلَّمَ;
arabisch, Araber    ;[m];;msa, ks;;عَرَبي;
studieren;;;msa, ls, verb;;دَرَسَ;
Deutschland         ;[m];;msa, ls;;ألمانْيا;
lieben              ;;;msa, ls, verb;;حَبَّ;
Sprache             ;[f];;msa, ls;;لُغة;
gut                 ;;;msa, ls, adverb;;جَيَّداً;
hat mich sehr gefreut (wörtl.: glückliche Gelegenheit)  ;;;msa, ls;;فُرْ صة سَعيدة;
bis bald (wörtl.: bis zum Treffen)  ;;;msa, ls;;إلَى اللِّقاء;
so Gott will        ;;;msa, ls;;إن شاء اللَّه;
