word;translation;gender;note;tags
seto;Zaun, Hecke;[m];;noun
engreído;eingebildet, verwöhnt;;;adjective
suntuosidad;Luxus, Üppigkeit;[f];;noun
zancada;langer Schritt;[f];;noun
macizar;ausstopfen, ausfüllen;;;verb
arrinconado;abgelegen, vernachlässigt;;;adjective
arrinconar;beiseitelegen, in die Ecke stellen;;;verb
fauces;Schlund, Rachen, Eckzähne;[f];;noun
regocijar;sich freuen, Spaß haben;;;verb
impertérrito;unerschrocken, furchtlos;;;adjective
puntapié;Fußtritt;[m];;noun
cachivache;Trottel;[m];;noun
desperdiciar;verpassen, verschwenden;;;verb
necrológico;Todes-, Todesanzeige;;;adjective
trucha;Ganove;[m];;noun
cremallera;Reißverschluss;[f];;noun
alheña;Henna;[f];;noun
cortacésped;Rasenmäher;[m];;noun
chuchería;Leckerei, Süßigkeit;[f];;noun
zanjón;Abgrund;[m];;noun
tierno;zart, sanft;;;adjective
antojo;Laune, Gelüste;[m];;noun
acorralar;einpferchen, einkreisen;;;verb
señuelo;Lockvogel, Köder;[m];;noun
escoltar;geleiten, eskortieren;;;verb
manillar;Lenker;[m];;noun
ciénaga;Morast;[f];;noun
remordimiento;Gewissensbiss;[m];;noun
ileso;unverletzt, unversehrt;;;adjective
convalecer;sich erholen, genesen;;;verb
follaje;Laubwerk, Blätter;[m];;noun
ardid;List, Kniff;[m];;noun
cubertería;Besteck;[f];;noun
bonachón;gutmütig, leichtgläubig;;;adjective
comadreja;Wiesel;[f];;noun
butaca;kleiner Sessel;[f];;noun
ataviar;herausputzen, schmücken;;;verb
jaleo;Lärm, Krach;[m];;noun
bizcar;schielen;;;verb
birrete;Barett;[m];;noun
ramillete;Blumengeschenk, Strauß;[m];;noun
amatista;Amethyst;[f];;noun
realce;Glanz, Betonung;[m];;noun
barullo;Tumult;[m];;noun
incitación;Anstiftung;[f];;noun
incitar;anstiften;;;verb
seso;Gehirn, Verstand;[m];;noun
carpa;Karpfen, Zelt;[f];;noun
cochambre;Dreck;[f];;noun
vaqueros;Jeans;[m];;noun
tétrico;trübsinnig, düster;;;adjective
telaraña;Spinnennetz;[f];;noun
embrujo;Zauber, Verhexung;[m];;noun
atisbar;erspähen;;;verb
cera;Wachs;[f];;noun
resecar;austrocknen;;;verb
monedero;Geldbeutel;[m];;noun
guardapelo;Medaillon;[m];;noun
vasija;Gefäß;[f];;noun
soborno;Bestechung;[m];;noun
sobornar;bestechen;;;verb
mohoso;schimmelig, verschimmelt;;;adjective
rechinar;knirschen, knarren;;;verb
paradero;Rastplatz, Verbleib;[m];;noun
cincel;Meißel;[m];;noun
maraña;Gestrüpp, Wirrwarr;[f];;noun
chatarra;Schlacke, Schrott;[f];;noun
fisgonear;herumschnüffeln;;;verb
resquebrajar;spalten, ritzen;;;verb
resquicio;Ritze, Spalt;[m];;noun
trono;Thron;[m];;noun
labrado;Bearbeitung, Bestellung, Arbeit;[m];;noun
traqueteo;Krach, Klappern;[m];;noun
congojar;bekümmern, verunsichern;;;verb
merodear;plündern, marodieren;;;verb
sigilo;Verschwiegenheit, Geheimnis;[m];;noun
cosquillear;kitzeln;;;verb
estantería;Regal;[f];;noun
sepulcral;Grab-;;;adjective
gozne;Scharnier, Türangel;[m];;noun
centinela;Wächter;[m];;noun
lumbago;Hexenschuss, Lumbago;[m];;noun
acongojar;bekümmern, bedrücken;;;verb
farol;Laterne;[m];;noun
seta;Pilz;[f];;noun
hosco;mürrisch, düster;;;adjective
duende;Kobold;[m];;noun
escurridizo;glatt, rutschig;;;adjective
zopenco;dumm, doof;;;adjective
bobo;dumm, albern;;;adjective
parsimonia;Ruhe, Sparsamkeit;[f];;noun
cuello;Hals, Kragen;[m];;noun
lápida;Steintafel, Grabstein;[f];;noun
apretar;drücken, schlimmer werden;;;verb
remolino;Wirbel, Strudel;[m];;noun
maloliente;stinkend, übel riechend;;;adjective
impoluto;rein, makellos;;;adjective
regadera;Gießkanne, Dusche;[f];;noun
estrujar;pressen, zerdrücken;;;verb
esmero;Sorgfalt, Genauigkeit;[m];;noun
esmerar;polieren;;;verb
negrura;Schwärze;[f];;noun
roble;Eiche;[m];;noun
centelleo;Funkeln, Glänzen;[m];;noun
charca;Tümpel;[f];;noun
osadía;Wagemut, Kühnheit;[f];;noun
temple;Gemüt, Laune;[m];;noun
manotazo;Schlag;[m];;noun
dirigible;lenkbar, steuerbar;;;adjective
riachuelo;Bach;[m];;noun
saúco;Holunder;[m];;noun
orilla;Kante, Rand, Ufer;[f];;noun
moraleja;Moral;[f];;noun
calzoncillo;Herrenunterhose;[m];;noun
chamuscado;gesengt, versengt;;;adjective
chamuscar;sengen, absengen;;;verb
pocilga;Schweinestall;[f];;noun
borroso;verschwommen, undeutlich;;;adjective
concha;Muschel, Schale;[f];;noun
sedoso;seiden, seidig;;;adjective
tararear;trällern, summen;;;verb
artimaña;List, Kniff;[f];;noun
torbellino;Wirbel;[m];;noun
acuciante;dringend;;;adjective
tabla;Brett, Planke, Tafel;[f];;noun
mansedumbre;Sanftmut, Gehorsam;[f];;noun
perdición;Verlust, Verderben;[f];;noun
sopetón;Ohrfeige, Schlag;[m];;noun
púa;Stachel, Plektrum;[f];;noun
asa;Henkel, Griff;[f];;noun
ijada;Flanke, Weiche;[f];;noun
ignominia;Schande;[f];;noun
canalla;Schurke, Schuft;[m];;noun
lienzo;Leinen, Leinwand;[m];;noun
pasadizo;Durchgang, Passage;[m];;noun
campestre;Land-;;;adjective
ahuecar;aushöhlen, auflockern;;;verb
losa;Steinplatte, Grabstein;[f];;noun
losar;fliesen;;;verb
necio;dumm, töricht;;;adjective
barahúnda;Tumult, Radau;[f];;noun
